"Time","SignalOutput1"
0.000000000000000E+00,1.000000000000000E+05
1.000000000000000E-03,1.000000000000000E+05
2.000000000000000E-03,1.002295241400400E+05
3.000000000000000E-03,1.004861387680400E+05
4.000000000000000E-03,1.007426124370400E+05
5.000000000000000E-03,1.009989473711200E+05
6.000000000000000E-03,1.012551457594900E+05
7.000000000000000E-03,1.015112097570100E+05
8.000000000000000E-03,1.017671414849000E+05
8.999999999999999E-03,1.020229430312800E+05
1.000000000000000E-02,1.022786164517300E+05
1.100000000000000E-02,1.025341637699400E+05
1.200000000000000E-02,1.027895869781800E+05
1.300000000000000E-02,1.030448880379100E+05
1.400000000000000E-02,1.033000688802800E+05
1.500000000000000E-02,1.035551314066900E+05
1.600000000000000E-02,1.038100774892700E+05
1.700000000000000E-02,1.040649089714300E+05
1.800000000000000E-02,1.043196276683200E+05
1.900000000000000E-02,1.045742353673200E+05
2.000000000000000E-02,1.048287338285600E+05
2.100000000000000E-02,1.050831247853200E+05
2.200000000000000E-02,1.053374099445400E+05
2.300000000000000E-02,1.055915909872800E+05
2.400000000000000E-02,1.058456695691100E+05
2.500000000000000E-02,1.060996473205800E+05
2.600000000000000E-02,1.063535258476500E+05
2.700000000000000E-02,1.066073067320900E+05
2.800000000000000E-02,1.068609915318900E+05
2.900000000000000E-02,1.071145817816700E+05
3.000000000000000E-02,1.073680789930700E+05
3.100000000000000E-02,1.076214846551500E+05
3.200000000000000E-02,1.078748002347400E+05
3.300000000000000E-02,1.081280271768400E+05
3.400000000000000E-02,1.083811669049700E+05
3.500000000000000E-02,1.086342208215300E+05
3.600000000000000E-02,1.088871903081600E+05
3.700000000000000E-02,1.091400767260800E+05
3.800000000000000E-02,1.093928814164200E+05
3.900000000000000E-02,1.096456057005600E+05
4.000000000000000E-02,1.098982508804800E+05
4.100000000000000E-02,1.101508182390200E+05
4.200000000000000E-02,1.104033090402700E+05
4.300000000000000E-02,1.106557245298000E+05
4.400000000000000E-02,1.109080659350400E+05
4.500000000000000E-02,1.111603344655100E+05
4.600000000000000E-02,1.114125313131600E+05
4.700000000000000E-02,1.116646576526400E+05
4.800000000000000E-02,1.119167146415500E+05
4.900000000000000E-02,1.121687034207800E+05
5.000000000000000E-02,1.124206251147300E+05
5.100000000000000E-02,1.126724808316000E+05
5.200000000000000E-02,1.129242716636400E+05
5.300000000000000E-02,1.131759986874000E+05
5.400000000000000E-02,1.134276629640200E+05
5.500000000000000E-02,1.136792655394200E+05
5.600000000000000E-02,1.139308074445900E+05
5.700000000000000E-02,1.141822896958200E+05
5.800000000000000E-02,1.144337132949100E+05
5.900000000000000E-02,1.146850792294100E+05
6.000000000000000E-02,1.149363884728900E+05
6.100000000000000E-02,1.151876419850900E+05
6.200000000000000E-02,1.154388407121800E+05
6.300000000000000E-02,1.156899855869800E+05
6.400000000000000E-02,1.159410775291500E+05
6.500000000000000E-02,1.161921174454000E+05
6.600000000000000E-02,1.164431062297100E+05
