"Time [s]","FMI_Link_MixtureGases1.der_p [Pa_per_s]","FMI_Link_MixtureGases1.der_T []"
0,0,0
1E-007,0,0
6E-007,0,0
3.1E-006,0,0
1.56E-005,0,0
7.81E-005,0,0
0.0003906,0,0
0.0013906,0,0
0.0023906,0,0
0.0033906,0,0
0.0043906,0,0
0.0053906,0,0
0.0063906,0,0
0.0073906,0,0
0.0083906,0,0
0.0093906,0,0
0.0103906,0,0
0.0113906,0,0
0.0123906,0,0
0.0133906,0,0
0.0143906,0,0
0.0153906,0,0
0.0163906,0,0
0.0173906,0,0
0.0183906,0,0
0.0193906,0,0
0.0203906,0,0
0.0213906,0,0
0.0223906,0,0
0.0233906,0,0
0.0243906,0,0
0.0253906,0,0
0.0263906,0,0
0.0273906,0,0
0.0283906,0,0
0.0293906,0,0
0.0303906,0,0
0.0313906,0,0
0.0323906,0,0
0.0333906,0,0
0.0343906,0,0
0.0353906,0,0
0.0363906,0,0
0.0373906,0,0
0.0383906,0,0
0.0393906,0,0
0.0403906,0,0
0.0413906,0,0
0.0423906,0,0
0.0433906,0,0
0.0443906,0,0
0.0453906,0,0
0.0463906,0,0
0.0473906,0,0
0.0483906,0,0
0.0493906,0,0
0.0503906,0,0
0.0513906,0,0
0.0523906,0,0
0.0533906,0,0
0.0543906,0,0
0.0553906,0,0
0.0563906,0,0
0.0573906,0,0
0.0583906,0,0
0.0593906,0,0
0.0603906,0,0
0.0613906,0,0
0.0623906,0,0
0.0633906,0,0
0.0643906,0,0
0.0653906,0,0
0.0663906000000001,0,0
0.0673906000000001,0,0
0.0683906000000001,0,0
0.0693906000000001,0,0
0.0703906000000001,0,0
0.0713906000000001,0,0
0.0723906000000001,0,0
0.0733906000000001,0,0
0.0743906000000001,0,0
0.0753906000000001,0,0
0.0763906000000001,0,0
0.0773906000000001,0,0
0.0783906000000001,0,0
0.0793906000000001,0,0
0.0803906000000001,0,0
0.0813906000000001,0,0
0.0823906000000001,0,0
0.0833906000000001,0,0
0.0843906000000001,0,0
0.0853906000000001,0,0
0.0863906000000001,0,0
0.0873906000000001,0,0
0.0883906000000001,0,0
