"time","E1.on.signal[1]","E2.on.signal[1]","V1.s_pos.signal[1]","V2.s_pos.signal[1]"
0,1,0,0,0
0.05,1,0,0,0
0.1,1,0,0,0
0.15,1,0,0,0
0.2,1,0,0,0
0.25,1,0,0,0
0.3,1,0,0,0
0.35,1,0,0,0
0.4,1,0,0,0
0.45,1,0,0,0
0.5,1,0,0,0
0.55,1,0,0,0
0.6,1,0,0,0
0.65,1,0,0,0
0.7,1,0,0,0
0.75,1,0,0,0
0.8,1,0,0,0
0.85,1,0,0,0
0.9,1,0,0,0
0.95,1,0,0,0
1,1,0,0,0
1.05,1,0,0,0
1.1,1,0,0,0
1.15,1,0,0,0
1.2,1,0,0,0
1.25,1,0,0,0
1.3,1,0,0,0
1.35,1,0,0,0
1.4,1,0,0,0
1.45,1,0,0,0
1.5,1,0,0,0
1.55,1,0,0,0
1.6,1,0,0,0
1.65,1,0,0,0
1.7,1,0,0,0
1.75,1,0,0,0
1.8,1,0,0,0
1.85,1,0,0,0
1.9,1,0,0,0
1.95,1,0,0,0
2,1,0,0,0
2.05,1,0,0,0
2.1,1,0,0,0
2.15,1,0,0,0
2.2,1,0,0,0
2.25,1,0,0,0
2.3,1,0,0,0
2.35,1,0,0,0
2.4,1,0,0,0
2.45,1,0,0,0
2.5,1,0,0,0
2.55,1,0,0,0
2.6,1,0,0,0
2.65,1,0,0,0
2.7,1,0,0,0
2.75,1,0,0,0
2.8,1,0,0,0
2.85,1,0,0,0
2.9,1,0,0,0
2.95,1,0,0,0
3,1,0,0,0
3.05,1,0,0,0
3.1,1,0,0,0
3.15,1,0,0,0
3.2,1,0,0,0
3.25,1,0,0,0
3.3,1,0,0,0
3.35,1,0,0,0
3.4,1,0,0,0
3.45,1,0,0,0
3.5,1,0,0,0
3.55,1,0,0,0
3.6,1,0,0,0
3.65,1,0,0,0
3.7,1,0,0,0
3.75,1,0,0,0
3.8,1,0,0,0
3.85,1,0,0,0
3.9,1,0,0,0
3.95,1,0,0,0
4,1,0,0,0
4.05,1,0,0,0
4.1,1,0,0,0
4.15,1,0,0,0
4.2,1,0,0,0
4.25,1,0,0,0
4.3,1,0,0,0
4.35,1,0,0,0
4.4,1,0,0,0
4.45,1,0,0,0
4.5,1,0,0,0
4.55,1,0,0,0
4.6,1,0,0,0
4.65,1,0,0,0
4.7,1,0,0,0
4.75,1,0,0,0
4.8,1,0,0,0
4.85,1,0,0,0
4.9,1,0,0,0
4.95,1,0,0,0
5,1,0,0,0
5.05,1,0,0,0
5.1,1,0,0,0
5.15,1,0,0,0
5.2,1,0,0,0
5.25,1,0,0,0
5.3,1,0,0,0
5.35,1,0,0,0
5.4,1,0,0,0
5.45,1,0,0,0
5.5,1,0,0,0
5.55,1,0,0,0
5.6,1,0,0,0
5.65,1,0,0,0
5.7,1,0,0,0
5.75,1,0,0,0
5.8,1,0,0,0
5.85,1,0,0,0
5.9,1,0,0,0
5.95,1,0,0,0
6,1,0,0,0
6.05,1,0,0,0
6.1,1,0,0,0
6.15,1,0,0,0
6.2,1,0,0,0
6.25,1,0,0,0
6.3,1,0,0,0
6.35,1,0,0,0
6.4,1,0,0,0
6.45,1,0,0,0
6.5,1,0,0,0
6.55,1,0,0,0
6.6,1,0,0,0
6.65,1,0,0,0
6.7,1,0,0,0
