"time","indata_3263","indata_0031","inkey_3263","inkey_0031","decipher","ds","rst"
0,0,0,0,0,0,0,1
0.001,19088743,-1985229329,322197369,-1682120719,0,1,0
0.002,19088743,-1985229329,322197369,-1682120719,0,1,0
0.003,19088743,-1985229329,322197369,-1682120719,0,1,0
0.004,19088743,-1985229329,322197369,-1682120719,0,1,0
0.005,19088743,-1985229329,322197369,-1682120719,0,1,0
0.006,19088743,-1985229329,322197369,-1682120719,0,1,0
0.007,19088743,-1985229329,322197369,-1682120719,0,1,0
0.008,19088743,-1985229329,322197369,-1682120719,0,1,0
0.009,19088743,-1985229329,322197369,-1682120719,0,1,0
0.01,19088743,-1985229329,322197369,-1682120719,0,1,0
0.011,19088743,-1985229329,322197369,-1682120719,0,1,0
0.012,19088743,-1985229329,322197369,-1682120719,0,1,0
0.013,19088743,-1985229329,322197369,-1682120719,0,1,0
0.014,19088743,-1985229329,322197369,-1682120719,0,1,0
0.015,19088743,-1985229329,322197369,-1682120719,0,1,0
0.016,19088743,-1985229329,322197369,-1682120719,0,1,0
0.017,19088743,-1985229329,322197369,-1682120719,0,0,0
0.018,-2048388268,252359685,322197369,-1682120719,1,1,0
0.019,-2048388268,252359685,322197369,-1682120719,1,1,0
0.02,-2048388268,252359685,322197369,-1682120719,1,1,0
0.021,-2048388268,252359685,322197369,-1682120719,1,1,0
0.022,-2048388268,252359685,322197369,-1682120719,1,1,0
0.023,-2048388268,252359685,322197369,-1682120719,1,1,0
0.024,-2048388268,252359685,322197369,-1682120719,1,1,0
0.025,-2048388268,252359685,322197369,-1682120719,1,1,0
0.026,-2048388268,252359685,322197369,-1682120719,1,1,0
0.027,-2048388268,252359685,322197369,-1682120719,1,1,0
0.028,-2048388268,252359685,322197369,-1682120719,1,1,0
0.029,-2048388268,252359685,322197369,-1682120719,1,1,0
0.03,-2048388268,252359685,322197369,-1682120719,1,1,0
0.031,-2048388268,252359685,322197369,-1682120719,1,1,0
0.032,-2048388268,252359685,322197369,-1682120719,1,1,0
0.033,-2048388268,252359685,322197369,-1682120719,1,1,0
0.034,-2048388268,252359685,322197369,-1682120719,1,0,0
0.035,-2021161081,-2021161081,322197369,-1682120719,0,1,0
0.036,-2021161081,-2021161081,322197369,-1682120719,0,1,0
0.037,-2021161081,-2021161081,322197369,-1682120719,0,1,0
0.038,-2021161081,-2021161081,322197369,-1682120719,0,1,0
0.039,-2021161081,-2021161081,322197369,-1682120719,0,1,0
0.04,-2021161081,-2021161081,322197369,-1682120719,0,1,0
0.041,-2021161081,-2021161081,322197369,-1682120719,0,1,0
0.042,-2021161081,-2021161081,322197369,-1682120719,0,1,0
0.043,-2021161081,-2021161081,322197369,-1682120719,0,1,0
0.044,-2021161081,-2021161081,322197369,-1682120719,0,1,0
0.045,-2021161081,-2021161081,322197369,-1682120719,0,1,0
0.046,-2021161081,-2021161081,322197369,-1682120719,0,1,0
0.047,-2021161081,-2021161081,322197369,-1682120719,0,1,0
0.048,-2021161081,-2021161081,322197369,-1682120719,0,1,0
0.049,-2021161081,-2021161081,322197369,-1682120719,0,1,0
0.05,-2021161081,-2021161081,322197369,-1682120719,0,1,0
0.051,-2021161081,-2021161081,322197369,-1682120719,0,0,0
0.052,309334259,-859300444,322197369,-1682120719,1,1,0
0.053,309334259,-859300444,322197369,-1682120719,1,1,0
0.054,309334259,-859300444,322197369,-1682120719,1,1,0
0.055,309334259,-859300444,322197369,-1682120719,1,1,0
0.056,309334259,-859300444,322197369,-1682120719,1,1,0
0.057,309334259,-859300444,322197369,-1682120719,1,1,0
0.058,309334259,-859300444,322197369,-1682120719,1,1,0
0.059,309334259,-859300444,322197369,-1682120719,1,1,0
0.06,309334259,-859300444,322197369,-1682120719,1,1,0
0.061,309334259,-859300444,322197369,-1682120719,1,1,0
0.062,309334259,-859300444,322197369,-1682120719,1,1,0
0.063,309334259,-859300444,322197369,-1682120719,1,1,0
0.064,309334259,-859300444,322197369,-1682120719,1,1,0
0.065,309334259,-859300444,322197369,-1682120719,1,1,0
0.066,309334259,-859300444,322197369,-1682120719,1,1,0
0.067,309334259,-859300444,322197369,-1682120719,1,1,0
0.068,309334259,-859300444,322197369,-1682120719,1,0,0
0.069,1500476786,543975792,322197369,-1682120719,0,1,0
0.07,1500476786,543975792,322197369,-1682120719,0,1,0
0.071,1500476786,543975792,322197369,-1682120719,0,1,0
0.072,1500476786,543975792,322197369,-1682120719,0,1,0
0.073,1500476786,543975792,322197369,-1682120719,0,1,0
0.074,1500476786,543975792,322197369,-1682120719,0,1,0
0.075,1500476786,543975792,322197369,-1682120719,0,1,0
0.076,1500476786,543975792,322197369,-1682120719,0,1,0
0.077,1500476786,543975792,322197369,-1682120719,0,1,0
0.078,1500476786,543975792,322197369,-1682120719,0,1,0
0.079,1500476786,543975792,322197369,-1682120719,0,1,0
0.08,1500476786,543975792,322197369,-1682120719,0,1,0
0.081,1500476786,543975792,322197369,-1682120719,0,1,0
0.082,1500476786,543975792,322197369,-1682120719,0,1,0
0.083,1500476786,543975792,322197369,-1682120719,0,1,0
0.084,1500476786,543975792,322197369,-1682120719,0,1,0
0.085,1500476786,543975792,322197369,-1682120719,0,0,0
0.086,1760299270,1642118831,322197369,-1682120719,1,1,0
0.087,1760299270,1642118831,322197369,-1682120719,1,1,0
0.088,1760299270,1642118831,322197369,-1682120719,1,1,0
0.089,1760299270,1642118831,322197369,-1682120719,1,1,0
0.09,1760299270,1642118831,322197369,-1682120719,1,1,0
0.091,1760299270,1642118831,322197369,-1682120719,1,1,0
0.092,1760299270,1642118831,322197369,-1682120719,1,1,0
0.093,1760299270,1642118831,322197369,-1682120719,1,1,0
0.094,1760299270,1642118831,322197369,-1682120719,1,1,0
0.095,1760299270,1642118831,322197369,-1682120719,1,1,0
0.096,1760299270,1642118831,322197369,-1682120719,1,1,0
