"Time","dFFREG.delay.inertialDelaySensitive[1].x","dFFREG.delay.inertialDelaySensitive[1].y"
0,1,1
0,1,1
0.1,1,1
0.2,1,1
0.3,1,1
0.4,1,1
0.5,1,1
0.6,1,1
0.7,1,1
0.8,1,1
0.9,1,1
1,1,1
1.1,3,1
1.2,3,1
1.3,3,1
1.4,3,1
1.5,3,1
1.6,3,1
1.7,3,1
1.8,3,1
1.9,3,1
2,3,1
2.1,3,1
2.2,3,1
2.3,3,1
2.4,3,1
2.5,3,1
2.6,3,1
2.7,3,1
2.8,3,1
2.9,3,1
3,3,1
3.1,3,1
3.2,3,1
3.3,3,1
3.4,3,1
3.5,3,1
3.6,3,1
3.7,3,1
3.8,3,1
3.9,3,1
4,3,1
4.1,3,1
4.2,3,1
4.3,3,1
4.4,3,1
4.5,3,1
4.6,3,1
4.7,3,1
4.8,3,1
4.9,3,1
5,3,1
5.1,3,1
5.2,3,1
5.3,3,1
5.4,3,1
5.5,3,1
5.6,3,1
5.7,3,1
5.8,3,1
5.9,3,1
6,3,1
6.1,3,3
6.2,3,3
6.3,3,3
6.4,3,3
6.5,3,3
6.6,3,3
6.7,3,3
6.8,3,3
6.9,3,3
7,3,3
7.1,4,3
7.2,4,3
7.3,4,3
7.4,4,3
7.5,4,3
7.6,4,3
7.7,4,3
7.8,4,3
7.9,4,3
8,4,3
8.1,4,3
8.2,4,3
8.3,4,3
8.4,4,3
8.5,4,3
8.6,4,3
8.7,4,3
8.8,4,3
8.9,4,3
9,4,3
9.1,4,3
9.2,4,3
9.3,4,3
9.4,4,3
9.5,4,3
9.6,4,3
9.7,4,3
9.8,4,3
9.9,4,3
10,4,3
10.1,4,3
10.2,4,3
10.3,4,3
10.4,4,3
10.5,4,3
10.6,4,3
10.7,4,3
10.8,4,3
10.9,4,3
11,4,3
11.1,4,3
11.2,4,3
11.3,4,3
11.4,4,3
11.5,4,3
11.6,4,3
11.7,4,3
11.8,4,3
11.9,4,3
12,4,3
12.1,4,3
12.2,4,3
12.3,4,3
12.4,4,3
12.5,4,3
12.6,4,3
12.7,4,3
12.8,4,3
12.9,4,3
13,4,3
13.1,4,4
13.2,4,4
13.3,4,4
13.4,4,4
13.5,4,4
13.6,4,4
13.7,4,4
13.8,4,4
13.9,4,4
14,4,4
14.1,4,4
14.2,4,4
14.3,4,4
14.4,4,4
14.5,4,4
14.6,4,4
14.7,4,4
14.8,4,4
14.9,4,4
15,4,4
15.1,3,4
15.2,3,4
15.3,3,4
15.4,3,4
15.5,3,4
15.6,3,4
15.7,3,4
15.8,3,4
15.9,3,4
16,3,4
16.1,3,4
16.2,3,4
16.3,3,4
16.4,3,4
16.5,3,4
16.6,3,4
16.7,3,4
16.8,3,4
16.9,3,4
17,3,4
17.1,3,4
17.2,3,4
17.3,3,4
17.4,3,4
17.5,3,4
17.6,3,4
17.7,3,4
17.8,3,4
17.9,3,4
18,3,4
18.1,3,4
18.2,3,4
18.3,3,4
18.4,3,4
18.5,3,4
18.6,3,4
18.7,3,4
18.8,3,4
18.9,3,4
19,3,4
19.1,3,4
19.2,3,4
19.3,3,4
19.4,3,4
19.5,3,4
19.6,3,4
19.7,3,4
19.8,3,4
19.9,3,4
20,3,3
20.1,3,3
20.2,3,3
20.3,3,3
20.4,3,3
20.5,3,3
20.6,3,3
20.7,3,3
20.8,3,3
20.9,3,3
21,3,3
21.1,3,3
21.2,3,3
21.3,3,3
21.4,3,3
21.5,3,3
21.6,3,3
21.7,3,3
21.8,3,3
21.9,3,3
22,3,3
22.1,3,3
22.2,3,3
22.3,3,3
22.4,3,3
22.5,3,3
22.6,3,3
22.7,3,3
22.8,3,3
22.9,3,3
23,3,3
23.1,3,3
23.2,3,3
23.3,3,3
23.4,3,3
23.5,3,3
23.6,3,3
23.7,3,3
23.8,3,3
23.9,3,3
24,3,3
24.1,3,3
24.2,3,3
24.3,3,3
24.4,3,3
24.5,3,3
24.6,3,3
24.7,3,3
24.8,3,3
24.9,3,3
25,3,3
