"time","dFFREG_dataOut_1_","dFFREG_dataOut_2_"
0.639,1,1
0.642,1,1
0.645,1,1
0.648,1,1
0.651,1,1
0.654,1,1
0.657,1,1
0.66,1,1
0.663,1,1
0.666,1,1
0.669,1,1
0.672,1,1
0.675,1,1
0.678,1,1
0.681,1,1
0.684,1,1
0.687,1,1
0.69,1,1
0.693,1,1
0.696,1,1
0.699,1,1
0.702,1,1
0.705,1,1
0.708,1,1
0.711,1,1
0.714,1,1
0.717,1,1
0.72,1,1
0.723,1,1
0.726,1,1
0.729,1,1
0.732,1,1
0.735,1,1
0.738,1,1
0.741,1,1
0.744,1,1
0.747,1,1
0.75,1,1
0.753,1,1
0.756,1,1
0.759,1,1
0.762,1,1
0.765,1,1
0.768,1,1
0.771,1,1
0.774,1,1
0.777,1,1
0.78,1,1
0.783,1,1
0.786,1,1
0.789,1,1
0.792,1,1
0.795,1,1
0.798,1,1
0.801,1,1
0.804,1,1
0.807,1,1
0.81,1,1
0.813,1,1
0.816,1,1
0.819,1,1
0.822,1,1
0.825,1,1
0.828,1,1
0.831,1,1
0.834,1,1
0.837,1,1
0.84,1,1
0.843,1,1
0.846,1,1
0.849,1,1
0.852,1,1
0.855,1,1
0.858,1,1
0.861,1,1
0.864,1,1
0.867,1,1
0.87,1,1
0.873,1,1
0.876,1,1
0.879,1,1
0.882,1,1
0.885,1,1
0.888,1,1
0.891,1,1
0.894,1,1
0.897,1,1
0.9,1,1
0.903,1,1
0.906,1,1
0.909,1,1
0.912,1,1
0.915,1,1
0.918,1,1
0.921,1,1
0.924,1,1
0.927,1,1
0.93,1,1
0.933,1,1
0.936,1,1
0.939,1,1
0.942,1,1
0.945,1,1
0.948,1,1
0.951,1,1
0.954,1,1
0.957,1,1
0.96,1,1
0.963,1,1
0.966,1,1
0.969,1,1
0.972,1,1
0.975,1,1
0.978,1,1
0.981,1,1
0.984,1,1
0.987,1,1
0.99,1,1
0.993,1,1
0.996,1,1
0.999,1,1
1,1,1
1,1,1
1.002,1,1
1.005,1,1
1.008,1,1
1.011,1,1
1.014,1,1
1.017,1,1
1.02,1,1
1.023,1,1
1.026,1,1
1.029,1,1
1.032,1,1
1.035,1,1
1.038,1,1
1.041,1,1
1.044,1,1
1.047,1,1
1.05,1,1
1.053,1,1
1.056,1,1
1.059,1,1
1.062,1,1
1.065,1,1
1.068,1,1
1.071,1,1
1.074,1,1
1.077,1,1
1.08,1,1
1.083,1,1
1.086,1,1
1.089,1,1
1.092,1,1
1.095,1,1
1.098,1,1
1.101,1,1
1.104,1,1
1.107,1,1
1.11,1,1
1.113,1,1
1.116,1,1
1.119,1,1
1.122,1,1
1.125,1,1
1.128,1,1
1.131,1,1
1.134,1,1
1.137,1,1
1.14,1,1
1.143,1,1
1.146,1,1
1.149,1,1
1.152,1,1
1.155,1,1
1.158,1,1
1.161,1,1
1.164,1,1
1.167,1,1
1.17,1,1
1.173,1,1
1.176,1,1
1.179,1,1
1.182,1,1
1.185,1,1
1.188,1,1
1.191,1,1
1.194,1,1
1.197,1,1
1.2,1,1
1.203,1,1
1.206,1,1
1.209,1,1
1.212,1,1
1.215,1,1
1.218,1,1
1.221,1,1
1.224,1,1
1.227,1,1
1.23,1,1
1.233,1,1
1.236,1,1
1.239,1,1
1.242,1,1
1.245,1,1
1.248,1,1
1.251,1,1
1.254,1,1
1.257,1,1
1.26,1,1
1.263,1,1
1.266,1,1
1.269,1,1
1.272,1,1
1.275,1,1
1.278,1,1
1.281,1,1
1.284,1,1
1.287,1,1
1.29,1,1
1.293,1,1
1.296,1,1
1.299,1,1
1.302,1,1
1.305,1,1
1.308,1,1
1.311,1,1
1.314,1,1
1.317,1,1
1.32,1,1
1.323,1,1
1.326,1,1
1.329,1,1
1.332,1,1
1.335,1,1
1.338,1,1
1.341,1,1
1.344,1,1
1.347,1,1
1.35,1,1
1.353,1,1
1.356,1,1
1.359,1,1
1.362,1,1
1.365,1,1
1.368,1,1
1.371,1,1
1.374,1,1
1.377,1,1
1.38,1,1
1.383,1,1
1.386,1,1
1.389,1,1
1.392,1,1
1.395,1,1
1.398,1,1
1.401,1,1
1.404,1,1
1.407,1,1
1.41,1,1
1.413,1,1
1.416,1,1
1.419,1,1
1.422,1,1
1.425,1,1
1.428,1,1
1.431,1,1
1.434,1,1
1.437,1,1
1.44,1,1
1.443,1,1
1.446,1,1
1.449,1,1
1.452,1,1
1.455,1,1
1.458,1,1
1.461,1,1
1.464,1,1
1.467,1,1
1.47,1,1
1.473,1,1
1.476,1,1
1.479,1,1
1.482,1,1
1.485,1,1
1.488,1,1
1.491,1,1
1.494,1,1
1.497,1,1
1.5,1,1
1.5,1,1
