"Time","integerStep","y_sum","y_product","y_triggeredAdd","y_multiSwitch"
0.000000000000000E+00,0,1,0,0,4
1.000000000000000E-02,0,1,0,0,4
2.000000000000000E-02,0,1,0,0,4
3.000000000000000E-02,0,1,0,0,4
4.000000000000000E-02,0,1,0,0,4
5.000000000000000E-02,0,1,0,0,4
6.000000000000000E-02,0,1,0,0,4
7.000000000000001E-02,0,1,0,0,4
8.000000000000000E-02,0,1,0,0,4
9.000000000000000E-02,0,1,0,0,4
1.000000000000000E-01,0,1,0,0,4
1.100000000000000E-01,0,1,0,0,4
1.200000000000000E-01,0,1,0,0,4
1.300000000000000E-01,0,1,0,0,4
1.400000000000000E-01,0,1,0,0,4
1.500000000000000E-01,0,1,0,0,4
1.600000000000000E-01,0,1,0,0,4
1.700000000000000E-01,0,1,0,0,4
1.800000000000000E-01,0,1,0,0,4
1.900000000000000E-01,0,1,0,0,4
2.000000000000000E-01,0,1,0,0,4
2.100000000000000E-01,0,1,0,0,4
2.200000000000000E-01,0,1,0,0,4
2.300000000000000E-01,0,1,0,0,4
2.400000000000000E-01,0,1,0,0,4
2.500000000000000E-01,0,1,0,0,4
2.600000000000000E-01,0,1,0,0,4
2.700000000000000E-01,0,2,0,0,4
2.800000000000000E-01,0,2,0,0,4
2.900000000000000E-01,0,2,0,0,4
3.000000000000000E-01,0,2,0,0,4
3.100000000000000E-01,0,2,0,0,4
3.200000000000000E-01,0,2,0,0,4
3.300000000000000E-01,0,2,0,0,4
3.400000000000000E-01,0,2,0,0,4
3.500000000000000E-01,0,2,0,0,4
3.600000000000000E-01,0,2,0,0,4
3.700000000000000E-01,0,2,0,0,4
3.800000000000000E-01,0,2,0,0,4
3.900000000000000E-01,0,2,0,0,4
4.000000000000000E-01,0,2,0,0,4
4.100000000000000E-01,0,2,0,0,4
4.200000000000000E-01,0,2,0,0,4
4.300000000000000E-01,0,2,0,0,4
4.400000000000000E-01,0,2,0,0,4
4.500000000000000E-01,0,2,0,0,4
4.600000000000000E-01,0,2,0,0,4
4.700000000000000E-01,0,2,0,0,4
4.800000000000000E-01,0,2,0,0,4
4.900000000000000E-01,0,2,0,0,4
5.000000000000000E-01,0,2,0,0,6
5.100000000000000E-01,0,2,0,0,6
5.200000000000000E-01,0,2,0,0,6
5.300000000000000E-01,0,2,0,0,6
5.400000000000000E-01,0,2,0,0,6
5.500000000000000E-01,0,2,0,0,6
5.600000000000001E-01,0,2,0,0,6
5.700000000000000E-01,0,2,0,0,6
5.800000000000000E-01,0,2,0,0,6
5.900000000000000E-01,0,2,0,0,6
6.000000000000000E-01,0,2,0,0,6
6.100000000000000E-01,0,2,0,0,6
6.200000000000000E-01,0,2,0,0,6
6.300000000000000E-01,0,2,0,0,6
6.400000000000000E-01,0,2,0,0,6
6.500000000000000E-01,0,2,0,0,6
6.600000000000000E-01,0,2,0,0,6
6.700000000000000E-01,0,2,0,0,6
6.800000000000000E-01,0,2,0,0,6
6.899999999999999E-01,0,2,0,0,6
7.000000000000000E-01,0,2,0,0,6
7.100000000000000E-01,0,2,0,0,6
7.200000000000000E-01,0,2,0,0,6
7.300000000000000E-01,0,2,0,0,6
7.400000000000000E-01,0,2,0,0,6
7.500000000000000E-01,0,2,0,0,6
7.600000000000000E-01,0,2,0,0,6
