"time","temperatureSensor.T"
0,20
0.01,20
0.02,20
0.03,20
0.04,20
0.05,20
0.06,20
0.07,20
0.08,20
0.09,20
0.1,20
0.11,20
0.12,20
0.13,20
0.14,20
0.15,20
0.16,20
0.17,20
0.18,20
0.19,20
0.2,20
0.21,20
0.22,20
0.23,20
0.24,20
0.25,20
0.26,20
0.27,20
0.28,20
0.29,20
0.3,20
0.31,20
0.32,20
0.33,20
0.34,20
0.35,20
0.36,20
0.37,20
0.38,20
0.39,20
0.4,20
0.41,20
0.42,20
0.43,20
0.44,20
0.45,20
0.46,20
0.47,20
0.48,20
0.49,20
0.5,20
0.51,20
0.52,20
0.53,20
0.54,20
0.55,20
0.56,20
0.57,20
0.58,20
0.59,20
0.6,20
0.61,20
0.62,20
0.63,20
0.64,20
0.65,20
0.66,20
0.67,20
0.68,20
0.69,20
0.7,20
0.71,20
0.72,20
0.73,20
0.74,20
0.75,20
0.76,20
0.77,20
0.78,20
0.79,20
0.8,20
0.81,20
0.82,20
0.83,20
0.84,20
0.85,20
0.86,20
0.87,20
0.88,20
0.89,20
0.9,20
0.91,20
0.92,20
0.93,20
0.94,20
0.95,20
0.96,20
0.97,20
0.98,20
0.99,20
1,20
1.01,20
1.02,20
1.03,20
1.04,20
1.05,20
1.06,20
1.07,20
1.08,20
1.09,20
1.1,20
1.11,20
1.12,20
1.13,20
1.14,20
1.15,20
1.16,20
1.17,20
1.18,20
1.19,20
1.2,20
1.21,20
1.22,20
1.23,20
1.24,20
1.25,20
1.26,20
1.27,20
1.28,20
1.29,20
1.3,20
1.31,20
1.32,20
1.33,20
1.34,20
1.35,20
1.36,20
1.37,20
1.38,20
1.39,20
1.4,20
1.41,20
1.42,20
1.43,20
1.44,20
1.45,20
1.46,20
1.47,20
1.48,20
1.49,20
1.5,20
1.51,20
1.52,20
1.53,20
1.54,20
1.55,20
1.56,20
1.57,20
1.58,20
1.59,20
1.6,20
1.61,20
1.62,20
1.63,20
1.64,20
1.65,20
1.66,20
1.67,20
1.68,20
1.69,20
1.7,20
1.71,20
1.72,20
1.73,20
1.74,20
1.75,20
1.76,20
1.77,20
1.78,20
1.79,20
1.8,20
1.81,20
1.82,20
1.83,20
1.84,20
1.85,20
1.86,20
1.87,20
1.88,20
1.89,20
1.9,20
1.91,20
1.92,20
1.93,20
1.94,20
1.95,20
1.96,20
1.97,20
1.98,20
1.99,20
2,20
2.01,20
2.02,20
2.03,20
2.04,20
2.05,20
2.06,20
