Time,der_p,der_T,
0.354,-36.3937,-2.45274,
0.356,-30.4757,-2.52009,
0.358,-24.1114,-2.58585,
0.36,-17.3083,-2.65003,
0.362,-10.074,-2.71264,
0.364,-2.41586,-2.77369,
0.366,5.65846,-2.8332,
0.368,14.1415,-2.89116,
0.37,23.0257,-2.94759,
0.372,32.3036,-3.00251,
0.374,41.9676,-3.05591,
0.376,52.0102,-3.1078,
0.378,62.424,-3.15821,
0.38,73.2013,-3.20713,
0.382,84.3348,-3.25457,
0.384,95.8169,-3.30055,
0.386,107.64,-3.34508,
0.388,119.797,-3.38815,
0.39,132.279,-3.42979,
0.392,145.081,-3.47001,
0.394,158.193,-3.5088,
0.396,171.608,-3.54619,
0.398,185.32,-3.58218,
0.4,199.32,-3.61678,
0.402,213.6,-3.65,
0.404,228.155,-3.68184,
0.406,242.974,-3.71233,
0.408,258.053,-3.74146,
0.41,273.382,-3.76925,
0.412,288.954,-3.79571,
0.414,304.763,-3.82084,
0.416,320.799,-3.84466,
0.418,337.056,-3.86718,
0.42,353.527,-3.88839,
0.422,370.203,-3.90833,
0.424,387.077,-3.92698,
0.426,404.142,-3.94437,
0.428,421.39,-3.9605,
0.43,438.814,-3.97538,
0.432,456.406,-3.98902,
0.434,474.158,-4.00143,
0.436,492.064,-4.01262,
0.438,510.115,-4.0226,
0.44,528.304,-4.03138,
0.442,546.624,-4.03897,
0.444,565.066,-4.04537,
0.446,583.625,-4.0506,
0.448,602.291,-4.05466,
0.45,621.057,-4.05757,
0.452,639.917,-4.05934,
0.454,658.862,-4.05996,
0.456,677.885,-4.05946,
0.458,696.978,-4.05785,
0.46,716.134,-4.05512,
0.462,735.345,-4.0513,
0.464,754.605,-4.04639,
0.466,773.904,-4.0404,
0.468,793.237,-4.03334,
0.47,812.594,-4.02521,
0.472,831.97,-4.01604,
0.474,851.356,-4.00582,
0.476,870.744,-3.99457,
0.478,890.128,-3.98229,
0.48,909.499,-3.96901,
0.482,928.851,-3.95471,
0.484,948.175,-3.93942,
0.486,967.464,-3.92315,
0.488,986.711,-3.9059,
0.49,1005.91,-3.88768,
0.492,1025.05,-3.8685,
0.494,1044.12,-3.84838,
0.496,1063.12,-3.82731,
0.498,1082.05,-3.80532,
0.5,1100.88,-3.7824,
0.502,1119.62,-3.75857,
0.504,1138.26,-3.73385,
0.506,1156.79,-3.70822,
0.508,1175.2,-3.68172,
0.51,1193.48,-3.65434,
0.512,1211.63,-3.6261,
0.514,1229.65,-3.597,
0.516,1247.51,-3.56706,
0.518,1265.22,-3.53628,
0.52,1282.77,-3.50467,
0.522,1300.14,-3.47225,
0.524,1317.34,-3.43901,
0.526,1334.36,-3.40498,
0.528,1351.18,-3.37016,
0.53,1367.8,-3.33456,
0.532,1384.21,-3.29819,
0.534,1400.41,-3.26105,
0.536,1416.39,-3.22317,
0.538,1432.13,-3.18454,
0.54,1447.64,-3.14518,
0.542,1462.9,-3.10509,
0.544,1477.91,-3.06429,
0.546,1492.66,-3.02278,
0.548,1507.14,-2.98058,
0.55,1521.34,-2.93769,
0.552,1535.27,-2.89412,
0.554,1548.9,-2.84988,
0.556,1562.23,-2.80499,
0.558,1575.26,-2.75945,
0.56,1587.98,-2.71326,
0.562,1600.37,-2.66645,
0.564,1612.44,-2.61901,
0.566,1624.17,-2.57096,
0.568,1635.56,-2.52231,
0.57,1646.6,-2.47307,
0.572,1657.28,-2.42324,
0.574,1667.6,-2.37284,
0.576,1677.54,-2.32187,
0.578,1687.1,-2.27034,
0.58,1696.28,-2.21827,
0.582,1705.05,-2.16566,
0.584,1713.43,-2.11253,
0.586,1721.39,-2.05887,
0.588,1728.94,-2.0047,
0.59,1736.06,-1.95004,
0.592,1742.75,-1.89488,
0.594,1748.99,-1.83925,
0.596,1754.79,-1.78314,
0.598,1760.13,-1.72656,
0.6,1765.01,-1.66954,
0.602,1769.42,-1.61207,
0.604,1773.35,-1.55416,
0.606,1776.8,-1.49583,
0.608,1779.75,-1.43708,
0.61,1782.2,-1.37793,
0.612,1784.14,-1.31838,
0.614,1785.57,-1.25844,
0.616,1786.47,-1.19812,
0.618,1786.84,-1.13743,
0.62,1786.68,-1.07638,
0.622,1785.97,-1.01498,
0.624,1784.7,-0.953237,
0.626,1782.87,-0.891162,
0.628,1780.48,-0.828765,
0.63,1777.51,-0.766054,
0.632,1773.96,-0.703038,
0.634,1769.81,-0.639727,
0.636,1765.07,-0.57613,
0.638,1759.72,-0.512257,
0.64,1753.76,-0.448116,
0.642,1747.17,-0.383717,
0.644,1739.96,-0.31907,
0.646,1732.11,-0.254183,
0.648,1723.62,-0.189067,
0.65,1714.48,-0.123729,
0.652,1704.68,-0.0581803,
0.654,1694.21,0.00757087,
0.656,1683.07,0.0735149,
0.658,1671.24,0.139642,
0.66,1658.73,0.205944,
0.662,1645.53,0.272411,
0.664,1631.62,0.339034,
0.666,1616.99,0.405802,
0.668,1601.65,0.472708,
0.67,1585.59,0.539742,
0.672,1568.79,0.606894,
0.674,1551.25,0.674156,
0.676,1532.96,0.741517,
0.678,1513.91,0.808969,
0.68,1494.1,0.876503,
0.682,1473.52,0.944108,
0.684,1452.16,1.01178,
0.686,1430.01,1.0795,
0.688,1407.07,1.14726,
0.69,1383.33,1.21507,
0.692,1358.78,1.28289,
0.694,1333.41,1.35073,
0.696,1307.22,1.41858,
0.698,1280.2,1.48643,
0.7,1252.34,1.55427,
0.702,1252.34,1.55421,
0.704,1252.34,1.55416,
0.706,1252.33,1.5541,
0.708,1252.33,1.55405,
0.71,1252.33,1.55399,
0.712,1252.32,1.55394,
0.714,1252.32,1.55388,
0.716,1252.32,1.55383,
0.718,1252.31,1.55377,
0.72,1252.31,1.55372,
0.722,1252.31,1.55366,
0.724,1252.3,1.55361,
0.726,1252.3,1.55355,
0.728,1252.3,1.5535,
0.73,1252.29,1.55345,
0.732,1252.29,1.55339,
0.734,1252.29,1.55334,
0.736,1252.28,1.55328,
0.738,1252.28,1.55323,
0.74,1252.28,1.55317,
0.742,1252.27,1.55312,
0.744,1252.27,1.55306,
0.746,1252.27,1.55301,
0.748,1252.26,1.55295,
0.75,1252.26,1.5529,
0.752,1252.26,1.55284,
0.754,1252.25,1.55279,
0.756,1252.25,1.55273,
0.758,1252.25,1.55268,
0.76,1252.24,1.55262,
0.762,1252.24,1.55257,
0.764,1252.24,1.55251,
0.766,1252.23,1.55246,
0.768,1252.23,1.5524,
0.77,1252.23,1.55235,
0.772,1252.22,1.55229,
0.774,1252.22,1.55224,
0.776,1252.22,1.55218,
0.778,1252.21,1.55213,
0.78,1252.21,1.55208,
0.782,1252.21,1.55202,
0.784,1252.2,1.55197,
0.786,1252.2,1.55191,
0.788,1252.2,1.55186,
0.79,1252.2,1.5518,
0.792,1252.19,1.55175,
0.794,1252.19,1.55169,
0.796,1252.19,1.55164,
0.798,1252.18,1.55158,
0.8,1252.18,1.55153,
0.802,1252.18,1.55147,
0.804,1252.17,1.55142,
0.806,1252.17,1.55136,
0.808,1252.17,1.55131,
0.81,1252.16,1.55125,
0.812,1252.16,1.5512,
0.814,1252.16,1.55114,
0.816,1252.15,1.55109,
0.818,1252.15,1.55104,
0.82,1252.15,1.55098,
0.822,1252.14,1.55093,
0.824,1252.14,1.55087,
0.826,1252.14,1.55082,
0.828,1252.13,1.55076,
0.83,1252.13,1.55071,
0.832,1252.13,1.55065,
0.834,1252.12,1.5506,
0.836,1252.12,1.55054,
0.838,1252.12,1.55049,
0.84,1252.11,1.55043,
0.842,1252.11,1.55038,
0.844,1252.11,1.55032,
0.846,1252.1,1.55027,
0.848,1252.1,1.55021,
0.85,1252.1,1.55016,
0.852,1252.09,1.55011,
0.854,1252.09,1.55005,
0.856,1252.09,1.55,
0.858,1252.08,1.54994,
0.86,1252.08,1.54989,
0.862,1252.08,1.54983,
0.864,1252.07,1.54978,
0.866,1252.07,1.54972,
0.868,1252.07,1.54967,
0.87,1252.06,1.54961,
0.872,1252.06,1.54956,
0.874,1252.06,1.5495,
0.876,1252.05,1.54945,
0.878,1252.05,1.5494,
0.88,1252.05,1.54934,
0.882,1252.04,1.54929,
0.884,1252.04,1.54923,
0.886,1252.04,1.54918,
0.888,1252.03,1.54912,
0.89,1252.03,1.54907,
0.892,1252.03,1.54901,
0.894,1252.03,1.54896,
0.896,1252.02,1.5489,
0.898,1252.02,1.54885,
0.9,1252.02,1.54879,
0.902,1252.01,1.54874,
0.904,1252.01,1.54869,
0.906,1252.01,1.54863,
0.908,1252,1.54858,
0.91,1252,1.54852,
0.912,1252,1.54847,
0.914,1251.99,1.54841,
0.916,1251.99,1.54836,
0.918,1251.99,1.5483,
0.92,1251.98,1.54825,
0.922,1251.98,1.54819,
0.924,1251.98,1.54814,
0.926,1251.97,1.54809,
0.928,1251.97,1.54803,
0.93,1251.97,1.54798,
0.932,1251.96,1.54792,
0.934,1251.96,1.54787,
0.936,1251.96,1.54781,
0.938,1251.95,1.54776,
0.94,1251.95,1.5477,
0.942,1251.95,1.54765,
0.944,1251.94,1.54759,
0.946,1251.94,1.54754,
0.948,1251.94,1.54749,
0.95,1251.93,1.54743,
0.952,1251.93,1.54738,
0.954,1251.93,1.54732,
0.956,1251.92,1.54727,
0.958,1251.92,1.54721,
0.96,1251.92,1.54716,
0.962,1251.91,1.5471,
0.964,1251.91,1.54705,
0.966,1251.91,1.54699,
0.968,1251.9,1.54694,
0.97,1251.9,1.54689,
0.972,1251.9,1.54683,
0.974,1251.89,1.54678,
0.976,1251.89,1.54672,
0.978,1251.89,1.54667,
0.98,1251.89,1.54661,
0.982,1251.88,1.54656,
0.984,1251.88,1.5465,
0.986,1251.88,1.54645,
0.988,1251.87,1.5464,
0.99,1251.87,1.54634,
0.992,1251.87,1.54629,
0.994,1251.86,1.54623,
0.996,1251.86,1.54618,
0.998,1251.86,1.54612,
1,1251.85,1.54607,
