"time","inc"
1.00E-04,1
0.0013,1
0.0025,1
0.0037,1
0.0049,1
0.0061,1
0.0073,1
0.0085,1
0.0097,1
0.0109,1
0.0121,1
0.0133,1
0.0145,1
0.0157,1
0.0169,1
0.0181,1
0.0193,1
0.0205,1
0.0217,1
0.0229,1
0.0241,1
0.0253,1
0.0265,1
0.0277,1
0.0289,1
0.0301,1
0.0313,1
0.0325,1
0.0337,1
0.0349,1
0.0361,1
0.0373,1
0.0385,1
0.0397,1
0.0409,1
0.0421,1
0.0433,1
0.0445,1
0.0457,1
0.0469,1
0.0481,1
0.0493,1
0.0505,1
0.0517,1
0.0529,1
0.0541,1
0.0553,1
0.0565,1
0.0577,1
0.0589,1
0.0601,1
0.0613,1
0.0625,1
0.0637,1
0.0649,1
0.0661,1
0.0673,1
0.0685,1
0.0697,1
0.0709,1
0.0721,1
0.0733,1
0.0745,1
0.0757,1
0.0769,1
0.0781,1
0.0793,1
0.0805,1
0.0817,1
0.0829,1
0.0841,1
0.0853,1
0.0865,1
0.0877,1
0.0889,1
0.0901,1
0.0913,1
0.0925,1
0.0937,1
0.0949,1
0.0961,1
0.0973,1
0.0985,1
0.0997,1
0.1009,1
0.1021,1
0.1033,1
0.1045,1
0.1057,1
0.1069,1
0.1081,1
0.1093,1
0.1105,1
0.1117,1
0.1129,1
0.1141,1
0.1153,1
0.1165,1
0.1177,1
0.1189,1
0.1201,1
0.1213,1
0.1225,1
0.1237,1
0.1249,1
0.1261,1
0.1273,1
0.1285,1
0.1297,1
0.1309,1
0.1321,1
0.1333,1
0.1345,1
0.1357,1
0.1369,1
0.1381,1
0.1393,1
0.1405,1
0.1417,1
0.1429,1
0.1441,1
0.1453,1
0.1465,1
0.1477,1
0.1489,1
0.1501,1
0.1513,1
0.1525,1
0.1537,1
0.1549,1
0.1561,1
0.1573,1
0.1585,1
0.1597,1
0.1609,1
0.1621,1
0.1633,1
0.1645,1
0.1657,1
0.1669,1
0.1681,1
0.1693,1
0.1705,1
0.1717,1
0.1729,1
0.1741,1
0.1753,1
0.1765,1
0.1777,1
0.1789,1
0.1801,1
0.1813,1
0.1825,1
0.1837,1
0.1849,1
0.1861,1
0.1873,1
0.1885,1
0.1897,1
0.1909,1
0.1921,1
0.1933,1
0.1945,1
0.1957,1
0.1969,1
0.1981,1
0.1993,1
0.2005,1
0.2017,1
0.2029,1
0.2041,1
0.2053,1
0.2065,1
0.2077,1
0.2089,1
0.2101,1
0.2113,1
0.2125,1
0.2137,1
0.2149,1
0.2161,1
0.2173,1
0.2185,1
0.2197,1
0.2209,1
0.2221,1
0.2233,1
0.2245,1
0.2257,1
0.2269,1
0.2281,1
0.2293,1
0.2305,1
0.2317,1
0.2329,1
0.2341,1
0.2353,1
0.2365,1
0.2377,1
0.2389,1
0.2401,1
0.2413,1
0.2425,1
0.2437,1
0.2449,1
0.2461,1
0.2473,1
0.2485,1
0.2497,1
0.2509,1
0.2521,1
0.2533,1
0.2545,1
0.2557,1
0.2569,1
0.2581,1
0.2593,1
0.2605,1
0.2617,1
0.2629,1
0.2641,1
0.2653,1
0.2665,1
0.2677,1
0.2689,1
0.2701,1
0.2713,1
0.2725,1
0.2737,1
0.2749,1
0.2761,1
0.2773,1
0.2785,1
0.2797,1
0.2809,1
0.2821,1
0.2833,1
0.2845,1
0.2857,1
0.2869,1
0.2881,1
0.2893,1
0.2905,1
0.2917,1
0.2929,1
0.2941,1
0.2953,1
0.2965,1
0.2977,1
0.2989,1
0.3001,1
0.3013,1
0.3025,1
0.3037,1
0.3049,1
0.3061,1
0.3073,1
0.3085,1
0.3097,1
0.3109,1
0.3121,1
0.3133,1
0.3145,1
0.3157,1
0.3169,1
0.3181,1
0.3193,1
0.3205,1
0.3217,1
0.3229,1
0.3241,1
0.3253,1
0.3265,1
0.3277,1
0.3289,1
0.3301,1
0.3313,1
0.3325,1
0.3337,1
0.3349,1
0.3361,1
0.3373,1
0.3385,1
0.3397,1
0.3409,1
0.3421,1
0.3433,1
0.3445,1
0.3457,1
0.3469,1
0.3481,1
0.3493,1
0.3505,1
0.3517,1
0.3529,1
0.3541,1
0.3553,1
0.3565,1
0.3577,1
0.3589,1
0.3601,1
0.3613,1
0.3625,1
0.3637,1
0.3649,1
0.3661,1
0.3673,1
0.3685,1
0.3697,1
0.3709,1
0.3721,1
0.3733,1
0.3745,1
0.3757,1
0.3769,1
0.3781,1
0.3793,1
0.3805,1
0.3817,1
0.3829,1
0.3841,1
0.3853,1
0.3865,1
0.3877,1
0.3889,1
0.3901,1
0.3913,1
0.3925,1
0.3937,1
0.3949,1
0.3961,1
0.3973,1
0.3985,1
0.3997,1
0.4009,1
0.4021,1
0.4033,1
0.4045,1
0.4057,1
0.4069,1
0.4081,1
0.4093,1
0.4105,1
0.4117,1
0.4129,1
0.4141,1
0.4153,1
0.4165,1
0.4177,1
0.4189,1
0.4201,1
0.4213,1
0.4225,1
0.4237,1
0.4249,1
0.4261,1
0.4273,1
0.4285,1
0.4297,1
0.4309,1
0.4321,1
0.4333,1
0.4345,1
0.4357,1
0.4369,1
0.4381,1
0.4393,1
0.4405,1
0.4417,1
0.4429,1
0.4441,1
0.4453,1
0.4465,1
0.4477,1
0.4489,1
0.4501,1
0.4513,1
0.4525,1
0.4537,1
0.4549,1
0.4561,1
0.4573,1
0.4585,1
0.4597,1
0.4609,1
0.4621,1
0.4633,1
0.4645,1
0.4657,1
0.4669,1
0.4681,1
0.4693,1
0.4705,1
0.4717,1
0.4729,1
0.4741,1
0.4753,1
0.4765,1
0.4777,1
0.4789,1
0.4801,1
0.4813,1
0.4825,1
0.4837,1
0.4849,1
0.4861,1
0.4873,1
0.4885,1
0.4897,1
0.4909,1
0.4921,1
0.4933,1
0.4945,1
0.4957,1
0.4969,1
0.4981,1
0.4993,1
0.5005,1
0.5017,1
0.5029,1
0.5041,1
0.5053,1
0.5065,1
0.5077,1
0.5089,1
0.5101,1
0.5113,1
0.5125,1
0.5137,1
0.5149,1
0.5161,1
0.5173,1
0.5185,1
0.5197,1
0.5209,1
0.5221,1
0.5233,1
0.5245,1
0.5257,1
0.5269,1
0.5281,1
0.5293,1
0.5305,1
0.5317,1
0.5329,1
0.5341,1
0.5353,1
0.5365,1
0.5377,1
0.5389,1
0.5401,1
0.5413,1
0.5425,1
0.5437,1
0.5449,1
0.5461,1
0.5473,1
0.5485,1
0.5497,1
0.5509,1
0.5521,1
0.5533,1
0.5545,1
0.5557,1
0.5569,1
0.5581,1
0.5593,1
0.5605,1
0.5617,1
0.5629,1
0.5641,1
0.5653,1
0.5665,1
0.5677,1
0.5689,1
0.5701,1
0.5713,1
0.5725,1
0.5737,1
0.5749,1
0.5761,1
0.5773,1
0.5785,1
0.5797,1
0.5809,1
0.5821,1
0.5833,1
0.5845,1
0.5857,1
0.5869,1
0.5881,1
0.5893,1
0.5905,1
0.5917,1
0.5929,1
0.5941,1
0.5953,1
0.5965,1
0.5977,1
0.5989,1
0.6001,1
0.6013,1
0.6025,1
0.6037,1
0.6049,1
0.6061,1
0.6073,1
0.6085,1
0.6097,1
0.6109,1
0.6121,1
0.6133,1
0.6145,1
0.6157,1
0.6169,1
0.6181,1
0.6193,1
0.6205,1
0.6217,1
0.6229,1
0.6241,1
0.6253,1
0.6265,1
0.6277,1
0.6289,1
0.6301,1
0.6313,1
0.6325,1
0.6337,1
0.6349,1
0.6361,1
0.6373,1
0.6385,1
0.6397,1
0.6409,1
0.6421,1
0.6433,1
0.6445,1
0.6457,1
0.6469,1
0.6481,1
0.6493,1
0.6505,1
0.6517,1
0.6529,1
0.6541,1
0.6553,1
0.6565,1
0.6577,1
0.6589,1
0.6601,1
0.6613,1
0.6625,1
0.6637,1
0.6649,1
0.6661,1
0.6673,1
0.6685,1
0.6697,1
0.6709,1
0.6721,1
0.6733,1
0.6745,1
0.6757,1
0.6769,1
0.6781,1
0.6793,1
0.6805,1
0.6817,1
0.6829,1
0.6841,1
0.6853,1
0.6865,1
0.6877,1
0.6889,1
0.6901,1
0.6913,1
0.6925,1
0.6937,1
0.6949,1
0.6961,1
0.6973,1
0.6985,1
0.6997,1
0.7009,1
0.7021,1
0.7033,1
0.7045,1
0.7057,1
0.7069,1
0.7081,1
0.7093,1
0.7105,1
0.7117,1
0.7129,1
0.7141,1
0.7153,1
0.7165,1
0.7177,1
0.7189,1
0.7201,1
0.7213,1
0.7225,1
0.7237,1
0.7249,1
0.7261,1
0.7273,1
0.7285,1
0.7297,1
0.7309,1
0.7321,1
0.7333,1
0.7345,1
0.7357,1
0.7369,1
0.7381,1
0.7393,1
0.7405,1
0.7417,1
0.7429,1
0.7441,1
0.7453,1
0.7465,1
0.7477,1
0.7489,1
0.7501,1
0.7513,1
0.7525,1
0.7537,1
0.7549,1
0.7561,1
0.7573,1
0.7585,1
0.7597,1
0.7609,1
0.7621,1
0.7633,1
0.7645,1
0.7657,1
0.7669,1
0.7681,1
0.7693,1
0.7705,1
0.7717,1
0.7729,1
0.7741,1
0.7753,1
0.7765,1
0.7777,1
0.7789,1
0.7801,1
0.7813,1
0.7825,1
0.7837,1
0.7849,1
0.7861,1
0.7873,1
0.7885,1
0.7897,1
0.7909,1
0.7921,1
0.7933,1
0.7945,1
0.7957,1
0.7969,1
0.7981,1
0.7993,1
0.8005,1
0.8017,1
0.8029,1
0.8041,1
0.8053,1
0.8065,1
0.8077,1
0.8089,1
0.8101,1
0.8113,1
0.8125,1
0.8137,1
0.8149,1
0.8161,1
0.8173,1
0.8185,1
0.8197,1
0.8209,1
0.8221,1
0.8233,1
0.8245,1
0.8257,1
0.8269,1
0.8281,1
0.8293,1
0.8305,1
0.8317,1
0.8329,1
0.8341,1
0.8353,1
0.8365,1
0.8377,1
0.8389,1
0.8401,1
0.8413,1
0.8425,1
0.8437,1
0.8449,1
0.8461,1
0.8473,1
0.8485,1
0.8497,1
0.8509,1
0.8521,1
0.8533,1
0.8545,1
0.8557,1
0.8569,1
0.8581,1
0.8593,1
0.8605,1
0.8617,1
0.8629,1
0.8641,1
0.8653,1
0.8665,1
0.8677,1
0.8689,1
0.8701,1
0.8713,1
0.8725,1
0.8737,1
0.8749,1
0.8761,1
0.8773,1
0.8785,1
0.8797,1
0.8809,1
0.8821,1
0.8833,1
0.8845,1
0.8857,1
0.8869,1
0.8881,1
0.8893,1
0.8905,1
0.8917,1
0.8929,1
0.8941,1
0.8953,1
0.8965,1
0.8977,1
0.8989,1
0.9001,1
0.9013,1
0.9025,1
0.9037,1
0.9049,1
0.9061,1
0.9073,1
0.9085,1
0.9097,1
0.9109,1
0.9121,1
0.9133,1
0.9145,1
0.9157,1
0.9169,1
0.9181,1
0.9193,1
0.9205,1
0.9217,1
0.9229,1
0.9241,1
0.9253,1
0.9265,1
0.9277,1
0.9289,1
0.9301,1
0.9313,1
0.9325,1
0.9337,1
0.9349,1
0.9361,1
0.9373,1
0.9385,1
0.9397,1
0.9409,1
0.9421,1
0.9433,1
0.9445,1
0.9457,1
0.9469,1
0.9481,1
0.9493,1
0.9505,1
0.9517,1
0.9529,1
0.9541,1
0.9553,1
0.9565,1
0.9577,1
0.9589,1
0.9601,1
0.9613,1
0.9625,1
0.9637,1
0.9649,1
0.9661,1
0.9673,1
0.9685,1
0.9697,1
0.9709,1
