"time","Noise","Noise_0Filt","Noise_0Filt_0Sat","Sine","Sine_0Filt","Sine_0Filt_0Quantized"
0,0.504193,0.0630242,0.0630242,0,0,0
0.02,0.504193,0.0630242,0.0630242,0.0399973,2.76111e-005,0
0.02,0.504193,0.0630242,0.0630242,0.0399973,2.76111e-005,0
0.04,0.504193,0.0630242,0.0630242,0.0799787,0.000191572,0
0.04,0.504193,0.0630242,0.0630242,0.0799787,0.000191572,0
0.05,0.504193,0.0630242,0.0630242,0.0999583,0.000363297,0
0.05,3.37525,0.481779,0.481779,0.0999583,0.000363297,0
0.06,3.37525,0.481779,0.481779,0.119928,0.000615769,0
0.06,3.37525,0.481779,0.481779,0.119928,0.000615769,0
0.08,3.37525,0.481779,0.481779,0.159829,0.00142083,0
0.08,3.37525,0.481779,0.481779,0.159829,0.00142083,0
0.1,3.37525,0.481779,0.481779,0.199667,0.00270842,0
0.1,-1.21259,0.306117,0.306117,0.199667,0.00270842,0
0.12,-1.21259,0.306117,0.306117,0.239424,0.00457273,0
0.12,-1.21259,0.306117,0.306117,0.239424,0.00457273,0
0.14,-1.21259,0.306117,0.306117,0.279086,0.0070981,0
0.14,-1.21259,0.306117,0.306117,0.279086,0.0070981,0
0.15,-1.21259,0.306117,0.306117,0.298876,0.00863167,0
0.15,1.81772,0.518026,0.5,0.298876,0.00863167,0
0.16,1.81772,0.518026,0.5,0.318636,0.010358,0
0.16,1.81772,0.518026,0.5,0.318636,0.010358,0
0.18,1.81772,0.518026,0.5,0.358059,0.0144215,0
0.18,1.81772,0.518026,0.5,0.358059,0.0144215,0
0.2,1.81772,0.518026,0.5,0.397339,0.0193444,0
0.2,0.277463,0.526808,0.5,0.397339,0.0193444,0
0.22,0.277463,0.526808,0.5,0.436459,0.025176,0
0.22,0.277463,0.526808,0.5,0.436459,0.025176,0
0.24,0.277463,0.526808,0.5,0.475405,0.031958,0
0.24,0.277463,0.526808,0.5,0.475405,0.031958,0
0.25,0.277463,0.526808,0.5,0.494808,0.0357161,0
0.25,-0.54856,0.431897,0.431897,0.494808,0.0357161,0
0.26,-0.54856,0.431897,0.431897,0.514161,0.0397243,0
0.26,-0.54856,0.431897,0.431897,0.514161,0.0397243,0
0.28,-0.54856,0.431897,0.431897,0.552711,0.0485039,0
0.28,-0.54856,0.431897,0.431897,0.552711,0.0485039,0
0.3,-0.54856,0.431897,0.431897,0.59104,0.0583171,0
0.3,-1.3008,0.247703,0.247703,0.59104,0.0583171,0.1
0.32,-1.3008,0.247703,0.247703,0.629133,0.0691791,0.1
0.32,-1.3008,0.247703,0.247703,0.629133,0.0691791,0.1
0.34,-1.3008,0.247703,0.247703,0.666974,0.0810995,0.1
0.34,-1.3008,0.247703,0.247703,0.666974,0.0810995,0.1
0.35,-1.3008,0.247703,0.247703,0.685796,0.0874581,0.1
0.35,0.1949,0.25968,0.25968,0.685796,0.0874581,0.1
0.36,0.1949,0.25968,0.25968,0.704548,0.0940825,0.1
0.36,0.1949,0.25968,0.25968,0.704548,0.0940825,0.1
0.38,0.1949,0.25968,0.25968,0.741841,0.108127,0.1
0.38,0.1949,0.25968,0.25968,0.741841,0.108127,0.1
0.4,0.1949,0.25968,0.25968,0.778837,0.123229,0.1
0.4,0.816124,0.348712,0.348712,0.778837,0.123229,0.1
0.42,0.816124,0.348712,0.348712,0.815521,0.139377,0.1
0.42,0.816124,0.348712,0.348712,0.815521,0.139377,0.1
0.44,0.816124,0.348712,0.348712,0.851879,0.156558,0.1
0.44,0.816124,0.348712,0.348712,0.851879,0.156558,0.2
0.45,0.816124,0.348712,0.348712,0.869931,0.165532,0.2
0.45,0.356546,0.375844,0.375844,0.869931,0.165532,0.2
0.46,0.356546,0.375844,0.375844,0.887896,0.174757,0.2
