    "time", "counter"
         0,         1
         1,         1
       1.5,         2
         2,         2
       2.5,         3
         3,         3
       3.5,         4
         4,         4
       4.5,         5
         5,         5
       5.5,         6
         6,         6
       6.5,         7
         7,         7
       7.5,         8
         8,         8
       8.5,         9
         9,         9
       9.5,        10
        10,        10
      10.5,        11
        11,        11
      11.5,        12
        12,        12
      12.5,        13
