"Time","integerStep","y5","y","y1","y2","y3","y4"
0.000000000000000E+00,0,0.000000000000000E+00,4,0,0,1,0
1.000000000000000E-02,0,1.884943189667700E-02,4,0,0,1,0
2.000000000000000E-02,0,3.769811965005800E-02,4,0,0,1,0
3.000000000000000E-02,0,5.654531914622500E-02,4,0,0,1,0
4.000000000000000E-02,0,7.539028633001200E-02,4,0,0,1,0
5.000000000000000E-02,0,9.423227723438500E-02,4,0,0,1,0
6.000000000000000E-02,0,1.130705480098000E-01,4,0,0,1,0
7.000000000000001E-02,0,1.319043549535900E-01,4,0,0,1,0
8.000000000000000E-02,0,1.507329545393100E-01,4,0,0,1,0
9.000000000000000E-02,0,1.695556034460700E-01,4,0,0,1,0
1.000000000000000E-01,0,1.883715585879400E-01,4,0,0,1,0
1.100000000000000E-01,0,2.071800771432200E-01,4,0,0,1,0
1.200000000000000E-01,0,2.259804165838000E-01,4,0,0,1,0
1.300000000000000E-01,0,2.447718347044700E-01,4,0,0,1,0
1.400000000000000E-01,0,2.635535896522300E-01,4,0,0,1,0
1.500000000000000E-01,0,2.823249399555400E-01,4,0,0,1,0
1.600000000000000E-01,0,3.010851445536400E-01,4,0,0,1,0
1.700000000000000E-01,0,3.198334628257800E-01,4,0,0,1,0
1.800000000000000E-01,0,3.385691546204500E-01,4,0,0,1,0
1.900000000000000E-01,0,3.572914802846100E-01,4,0,0,1,0
2.000000000000000E-01,0,3.759997006929100E-01,4,0,0,1,0
2.100000000000000E-01,0,3.946930772768500E-01,4,0,0,1,0
2.200000000000000E-01,0,4.133708720539100E-01,4,0,0,1,0
2.300000000000000E-01,0,4.320323476567600E-01,4,0,0,1,0
2.400000000000000E-01,0,4.506767673622700E-01,4,0,0,1,0
2.500000000000000E-01,0,4.693033951206900E-01,4,0,0,1,0
2.600000000000000E-01,0,4.879114955846500E-01,4,0,0,1,0
2.700000000000000E-01,0,5.065003341381999E-01,4,0,1,2,0
2.800000000000000E-01,0,5.250691769258300E-01,4,0,1,2,0
2.900000000000000E-01,0,5.436172908814100E-01,4,0,1,2,0
3.000000000000000E-01,0,5.621439437571700E-01,4,0,1,2,0
3.100000000000000E-01,0,5.806484041525800E-01,4,0,1,2,0
3.200000000000000E-01,0,5.991299415432200E-01,4,0,1,2,0
3.300000000000000E-01,0,6.175878263096400E-01,4,0,1,2,0
3.400000000000000E-01,0,6.360213297661600E-01,4,0,1,2,0
3.500000000000000E-01,0,6.544297241896300E-01,4,0,1,2,0
3.600000000000000E-01,0,6.728122828481400E-01,4,0,1,2,0
3.700000000000000E-01,0,6.911682800297700E-01,4,0,1,2,0
3.800000000000000E-01,0,7.094969910711700E-01,4,0,1,2,0
