"time","CoupledClutches_r(0)"
0,0
0.001,0.0013191
0.002,0.0023191
0.003,0.0033191
0.004,0.0043191
0.005,0.0053191
0.006,0.0063191
0.007,0.0073191
0.008,0.0083191
0.009,0.0093191
0.01,0.0103191
0.011,0.0113191
0.012,0.0123191
0.013,0.0133191
0.014,0.0143191
0.015,0.0153191
0.016,0.0163191
0.017,0.0173191
0.018,0.0183191
0.019,0.0193191
0.02,0.0203191
0.021,0.0213191
0.022,0.0223191
0.023,0.0233191
0.024,0.0243191
0.025,0.0253191
0.026,0.0263191
0.027,0.0273191
0.028,0.0283191
0.029,0.0293191
0.03,0.0303191
0.031,0.0313191
0.032,0.0323191
0.033,0.0333191
0.034,0.0343191
0.035,0.0353191
0.036,0.0363191
0.037,0.0373191
0.038,0.0383191
0.039,0.0393191
0.04,0.0403191
0.041,0.0413191
0.042,0.0423191
0.043,0.0433191
0.044,0.0443191
0.045,0.0453191
0.046,0.0463191
0.047,0.0473191
0.048,0.0483191
0.049,0.0493191
0.05,0.0503191
0.051,0.0513191
0.052,0.0523191
0.053,0.0533191
0.054,0.0543191
0.055,0.0553191
0.056,0.0563191
0.057,0.0573191
0.058,0.0583191
0.059,0.0593191
0.06,0.0603191
0.061,0.0613191
0.062,0.0623191
0.063,0.0633191
0.064,0.0643191
0.065,0.0653191
0.066,0.0663191
0.067,0.0673191
0.068,0.0683191
0.069,0.0693191
0.07,0.0703191
0.071,0.0713191
0.072,0.0723191
0.073,0.0733191
0.074,0.0743191
0.075,0.0753191
0.076,0.0763191
0.077,0.0773191
0.078,0.0783191
0.079,0.0793191
0.08,0.0803191
0.081,0.0813191
0.082,0.0823191
0.083,0.0833191
0.084,0.0843191
0.085,0.0853191
0.086,0.0863191
0.087,0.0873191
0.088,0.0883191
0.089,0.0893191
0.09,0.0903191
0.091,0.0913191
0.092,0.0923191
0.093,0.0933191
0.094,0.0943191
0.095,0.0953191
0.096,0.0963191
0.097,0.0973191
0.098,0.0983191
0.099,0.0993191
0.1,0.100319
0.101,0.101319
0.102,0.102319
0.103,0.103319
0.104,0.104319
0.105,0.105319
0.106,0.106319
0.107,0.107319
0.108,0.108319
0.109,0.109319
0.11,0.110319
0.111,0.111319
0.112,0.112319
0.113,0.113319
0.114,0.114319
0.115,0.115319
0.116,0.116319
0.117,0.117319
0.118,0.118319
0.119,0.119319
0.12,0.120319
0.121,0.121319
0.122,0.122319
0.123,0.123319
0.124,0.124319
0.125,0.125319
0.126,0.126319
0.127,0.127319
0.128,0.128319
0.129,0.129319
0.13,0.130319
0.131,0.131319
0.132,0.132319
0.133,0.133319
0.134,0.134319
0.135,0.135319
0.136,0.136319
0.137,0.137319
0.138,0.138319
0.139,0.139319
0.14,0.140319
0.141,0.141319
0.142,0.142319
0.143,0.143319
0.144,0.144319
0.145,0.145319
0.146,0.146319
0.147,0.147319
0.148,0.148319
0.149,0.149319
0.15,0.150319
0.151,0.151319
0.152,0.152319
0.153,0.153319
0.154,0.154319
0.155,0.155319
0.156,0.156319
0.157,0.157319
0.158,0.158319
0.159,0.159319
0.16,0.160319
0.161,0.161319
0.162,0.162319
0.163,0.163319
0.164,0.164319
0.165,0.165319
0.166,0.166319
0.167,0.167319
0.168,0.168319
0.169,0.169319
0.17,0.170319
0.171,0.171319
0.172,0.172319
0.173,0.173319
0.174,0.174319
0.175,0.175319
0.176,0.176319
0.177,0.177319
0.178,0.178319
0.179,0.179319
0.18,0.180319
0.181,0.181319
0.182,0.182319
0.183,0.183319
0.184,0.184319
0.185,0.185319
0.186,0.186319
0.187,0.187319
0.188,0.188319
0.189,0.189319
0.19,0.190319
0.191,0.191319
0.192,0.192319
0.193,0.193319
0.194,0.194319
0.195,0.195319
0.196,0.196319
0.197,0.197319
0.198,0.198319
0.199,0.199319
0.2,0.200319
0.201,0.201319
0.202,0.202319
0.203,0.203319
0.204,0.204319
0.205,0.205319
0.206,0.206319
0.207,0.207319
0.208,0.208319
0.209,0.209319
0.21,0.210319
0.211,0.211319
0.212,0.212319
0.213,0.213319
0.214,0.214319
0.215,0.215319
0.216,0.216319
0.217,0.217319
0.218,0.218319
0.219,0.219319
0.22,0.220319
0.221,0.221319
0.222,0.222319
0.223,0.223319
0.224,0.224319
0.225,0.225319
0.226,0.226319
0.227,0.227319
0.228,0.228319
0.229,0.229319
0.23,0.230319
0.231,0.231319
0.232,0.232319
0.233,0.233319
0.234,0.234319
0.235,0.235319
0.236,0.236319
0.237,0.237319
0.238,0.238319
0.239,0.239319
0.24,0.240319
0.241,0.241319
0.242,0.242319
0.243,0.243319
0.244,0.244319
0.245,0.245319
0.246,0.246319
0.247,0.247319
0.248,0.248319
0.249,0.249319
0.25,0.250319
0.251,0.251319
0.252,0.252319
0.253,0.253319
0.254,0.254319
0.255,0.255319
0.256,0.256319
0.257,0.257319
0.258,0.258319
0.259,0.259319
0.26,0.260319
0.261,0.261319
0.262,0.262319
0.263,0.263319
0.264,0.264319
0.265,0.265319
0.266,0.266319
0.267,0.267319
0.268,0.268319
0.269,0.269319
0.27,0.270319
0.271,0.271319
0.272,0.272319
0.273,0.273319
0.274,0.274319
0.275,0.275319
0.276,0.276319
0.277,0.277319
0.278,0.278319
0.279,0.279319
0.28,0.280319
0.281,0.281319
0.282,0.282319
0.283,0.283319
0.284,0.284319
0.285,0.285319
0.286,0.286319
0.287,0.287319
0.288,0.288319
0.289,0.289319
0.29,0.290319
0.291,0.291319
0.292,0.292319
0.293,0.293319
0.294,0.294319
0.295,0.295319
0.296,0.296319
0.297,0.297319
0.298,0.298319
0.299,0.299319
0.3,0.300319
0.301,0.301319
0.302,0.302319
0.303,0.303319
0.304,0.304319
0.305,0.305319
0.306,0.306319
0.307,0.307319
0.308,0.308319
0.309,0.309319
0.31,0.310319
0.311,0.311319
0.312,0.312319
0.313,0.313319
0.314,0.314319
0.315,0.315319
0.316,0.316319
0.317,0.317319
0.318,0.318319
0.319,0.319319
0.32,0.320319
0.321,0.321319
0.322,0.322319
0.323,0.323319
0.324,0.324319
0.325,0.325319
0.326,0.326319
0.327,0.327319
0.328,0.328319
0.329,0.329319
0.33,0.330319
0.331,0.331319
0.332,0.332319
0.333,0.333319
0.334,0.334319
0.335,0.335319
0.336,0.336319
0.337,0.337319
0.338,0.338319
0.339,0.339319
0.34,0.340319
0.341,0.341319
0.342,0.342319
0.343,0.343319
0.344,0.344319
0.345,0.345319
0.346,0.346319
0.347,0.347319
0.348,0.348319
0.349,0.349319
0.35,0.350319
0.351,0.351319
0.352,0.352319
0.353,0.353319
0.354,0.354319
0.355,0.355319
0.356,0.356319
0.357,0.357319
0.358,0.358319
0.359,0.359319
0.36,0.360319
0.361,0.361319
0.362,0.362319
0.363,0.363319
0.364,0.364319
0.365,0.365319
0.366,0.366319
0.367,0.367319
0.368,0.368319
0.369,0.369319
0.37,0.370319
0.371,0.371319
0.372,0.372319
0.373,0.373319
0.374,0.374319
0.375,0.375319
0.376,0.376319
0.377,0.377319
0.378,0.378319
0.379,0.379319
0.38,0.380319
0.381,0.381319
0.382,0.382319
0.383,0.383319
0.384,0.384319
0.385,0.385319
0.386,0.386319
0.387,0.387319
0.388,0.388319
0.389,0.389319
0.39,0.390319
0.391,0.391319
0.392,0.392319
0.393,0.393319
0.394,0.394319
0.395,0.395319
0.396,0.396319
0.397,0.397319
0.398,0.398319
0.399,0.399319
0.4,0.400006
0.401,0.401256
0.402,0.402019
0.403,0.403019
0.404,0.404019
0.405,0.405019
0.406,0.406019
0.407,0.407019
0.408,0.408019
0.409,0.409019
0.41,0.410019
0.411,0.411019
0.412,0.412019
0.413,0.413019
0.414,0.414019
0.415,0.415019
0.416,0.416019
0.417,0.417019
0.418,0.418019
0.419,0.419019
0.42,0.420019
0.421,0.421019
0.422,0.422019
0.423,0.423019
0.424,0.424019
0.425,0.425019
0.426,0.426019
0.427,0.427019
0.428,0.428019
0.429,0.429019
0.43,0.430019
0.431,0.431019
0.432,0.432019
0.433,0.433019
0.434,0.434019
0.435,0.435019
0.436,0.436019
0.437,0.437019
0.438,0.438019
0.439,0.439019
0.44,0.440019
0.441,0.441019
0.442,0.442019
0.443,0.443019
0.444,0.444019
0.445,0.445019
0.446,0.446019
0.447,0.447019
0.448,0.448019
0.449,0.449019
0.45,0.450019
0.451,0.451019
0.452,0.452019
0.453,0.453019
0.454,0.454019
0.455,0.455019
0.456,0.456019
0.457,0.457019
0.458,0.458019
0.459,0.459019
0.46,0.460019
0.461,0.461019
0.462,0.462019
0.463,0.463019
0.464,0.464019
0.465,0.465019
0.466,0.466019
0.467,0.467019
0.468,0.468019
0.469,0.469019
0.47,0.470019
0.471,0.471019
0.472,0.472019
0.473,0.473019
0.474,0.474019
0.475,0.475019
0.476,0.476019
0.477,0.477019
0.478,0.478019
0.479,0.479019
0.48,0.480019
0.481,0.481019
0.482,0.482019
0.483,0.483019
0.484,0.484019
0.485,0.485019
0.486,0.486019
0.487,0.487019
0.488,0.488019
0.489,0.489019
0.49,0.490019
0.491,0.491019
0.492,0.492019
0.493,0.493019
0.494,0.494019
0.495,0.495019
0.496,0.496019
0.497,0.497019
0.498,0.498019
0.499,0.499019
0.5,0.500019
0.501,0.501019
0.502,0.502019
0.503,0.503019
0.504,0.504019
0.505,0.505019
0.506,0.506019
0.507,0.507019
0.508,0.508019
0.509,0.509019
0.51,0.510019
0.511,0.511019
0.512,0.512019
0.513,0.513019
0.514,0.514019
0.515,0.515019
0.516,0.516019
0.517,0.517019
0.518,0.518019
0.519,0.519019
0.52,0.520019
0.521,0.521019
0.522,0.522019
0.523,0.523019
0.524,0.524019
0.525,0.525019
0.526,0.526019
0.527,0.527019
0.528,0.528019
0.529,0.529019
0.53,0.530019
0.531,0.531019
0.532,0.532019
0.533,0.533019
0.534,0.534019
0.535,0.535019
0.536,0.536019
0.537,0.537019
0.538,0.538019
0.539,0.539019
0.54,0.540019
0.541,0.541019
0.542,0.542019
0.543,0.543019
0.544,0.544019
0.545,0.545019
0.546,0.546019
0.547,0.547019
0.548,0.548019
0.549,0.549019
0.55,0.550019
0.551,0.551019
0.552,0.552019
0.553,0.553019
0.554,0.554019
0.555,0.555019
0.556,0.556019
0.557,0.557019
0.558,0.558019
0.559,0.559019
0.56,0.560019
0.561,0.561019
0.562,0.562019
0.563,0.563019
0.564,0.564019
0.565,0.565019
0.566,0.566019
0.567,0.567019
0.568,0.568019
0.569,0.569019
0.57,0.570019
0.571,0.571019
0.572,0.572019
0.573,0.573019
0.574,0.574019
0.575,0.575019
0.576,0.576019
0.577,0.577019
0.578,0.578019
0.579,0.579019
0.58,0.580019
0.581,0.581019
0.582,0.582019
0.583,0.583019
0.584,0.584019
0.585,0.585019
0.586,0.586019
0.587,0.587019
0.588,0.588019
0.589,0.589019
0.59,0.590019
0.591,0.591019
0.592,0.592019
0.593,0.593019
0.594,0.594019
0.595,0.595019
0.596,0.596019
0.597,0.597019
0.598,0.598019
0.599,0.599019
0.6,0.600019
0.601,0.601019
0.602,0.602019
0.603,0.603019
0.604,0.604019
0.605,0.605019
0.606,0.606019
0.607,0.607019
