time,clock.y,data_0.y,data_1.y,dFFREG.clock,dFFREG.dataIn[1],dFFREG.dataIn[2],dFFREG.dataOut[1],dFFREG.dataOut[2],dFFREG.delay.inertialDelaySensitive[1].delayTime,dFFREG.delay.inertialDelaySensitive[1].lh,dFFREG.delay.inertialDelaySensitive[1].t_next,dFFREG.delay.inertialDelaySensitive[1].x,dFFREG.delay.inertialDelaySensitive[1].y,dFFREG.delay.inertialDelaySensitive[1].y_auxiliary,dFFREG.delay.inertialDelaySensitive[1].y_old,dFFREG.delay.inertialDelaySensitive[2].delayTime,dFFREG.delay.inertialDelaySensitive[2].lh,dFFREG.delay.inertialDelaySensitive[2].t_next,dFFREG.delay.inertialDelaySensitive[2].x,dFFREG.delay.inertialDelaySensitive[2].y,dFFREG.delay.inertialDelaySensitive[2].y_auxiliary,dFFREG.delay.inertialDelaySensitive[2].y_old,dFFREG.delay.x[1],dFFREG.delay.x[2],dFFREG.delay.y[1],dFFREG.delay.y[2],dFFREG.dFFR.clock,dFFREG.dFFR.clock_flag,dFFREG.dFFR.dataIn[1],dFFREG.dFFR.dataIn[2],dFFREG.dFFR.dataOut[1],dFFREG.dFFR.dataOut[2],dFFREG.dFFR.next_assign_val[1],dFFREG.dFFR.next_assign_val[2],dFFREG.dFFR.nextstate[1],dFFREG.dFFR.nextstate[2],dFFREG.dFFR.reset,dFFREG.dFFR.reset_flag,dFFREG.reset,reset.y
0,3,4,8,3,4,8,1,1,0,0,0,1,1,1,1,0,0,0,1,1,1,1,1,1,1,1,3,0,4,8,1,1,1,1,1,1,3,3,3,3
0.01,3,4,8,3,4,8,1,1,0,0,0,1,1,1,1,0,0,0,1,1,1,1,1,1,1,1,3,0,4,8,1,1,1,1,1,1,3,3,3,3
0.02,3,4,8,3,4,8,1,1,0,0,0,1,1,1,1,0,0,0,1,1,1,1,1,1,1,1,3,0,4,8,1,1,1,1,1,1,3,3,3,3
0.03,3,4,8,3,4,8,1,1,0,0,0,1,1,1,1,0,0,0,1,1,1,1,1,1,1,1,3,0,4,8,1,1,1,1,1,1,3,3,3,3
0.04,3,4,8,3,4,8,1,1,0,0,0,1,1,1,1,0,0,0,1,1,1,1,1,1,1,1,3,0,4,8,1,1,1,1,1,1,3,3,3,3
0.05,3,4,8,3,4,8,1,1,0,0,0,1,1,1,1,0,0,0,1,1,1,1,1,1,1,1,3,0,4,8,1,1,1,1,1,1,3,3,3,3
0.06,3,4,8,3,4,8,1,1,0,0,0,1,1,1,1,0,0,0,1,1,1,1,1,1,1,1,3,0,4,8,1,1,1,1,1,1,3,3,3,3
0.07,3,4,8,3,4,8,1,1,0,0,0,1,1,1,1,0,0,0,1,1,1,1,1,1,1,1,3,0,4,8,1,1,1,1,1,1,3,3,3,3
0.08,3,4,8,3,4,8,1,1,0,0,0,1,1,1,1,0,0,0,1,1,1,1,1,1,1,1,3,0,4,8,1,1,1,1,1,1,3,3,3,3
0.09,3,4,8,3,4,8,1,1,0,0,0,1,1,1,1,0,0,0,1,1,1,1,1,1,1,1,3,0,4,8,1,1,1,1,1,1,3,3,3,3
