"time","Locals/q1@hydraulic","Locals/p2@presscontrol01"
0.0,0.0,0.0
0.0009999995,0.0,0.0
0.001999999,0.0,0.0
0.0029999985,0.0,0.0
0.003999998,0.0,0.0
0.0049999975,0.0,0.0
0.005999997,0.0,0.0
0.0069999965,0.0,0.0
0.007999996,0.0,0.0
0.0089999955,0.0,0.0
0.009999995,0.0,0.0
0.0109999945,0.0,0.0
0.011999994,0.0,0.0
0.0129999935,0.0,0.0
0.013999993,0.0,0.0
0.0149999925,0.0,0.0
0.015999992,0.0,0.0
0.017,0.0,0.0
0.0179999995,0.0,0.0
0.018999999,0.0,0.0
0.0199999985,0.0,0.0
0.020999998,0.0,0.0
0.0219999975,0.0,0.0
0.022999997,0.0,0.0
0.0239999965,0.0,0.0
0.024999996,0.0,0.0
0.0259999955,0.0,0.0
0.026999995,0.0,0.0
0.0279999945,0.0,0.0
0.028999994,0.0,0.0
0.0299999935,0.0,0.0
0.030999993,0.0,0.0
0.0319999925,0.0,0.0
0.032999992,0.0,0.0
0.034,0.0,0.0
0.0349999995,0.0,0.0
0.035999999,0.0,0.0
0.0369999985,0.0,0.0
0.037999998,0.0,0.0
0.0389999975,0.0,0.0
0.039999997,0.0,0.0
0.0409999965,0.0,0.0
0.041999996,0.0,0.0
0.0429999955,0.0,0.0
0.043999995,0.0,0.0
0.0449999945,0.0,0.0
0.045999994,0.0,0.0
0.046999993500000004,0.0,0.0
0.047999993,0.0,0.0
0.0489999925,0.0,0.0
0.049999992,0.0,0.0
0.051,0.0,0.0
0.0519999995,0.0,0.0
0.052999999,0.0,0.0
0.0539999985,0.0,0.0
0.054999998,0.0,0.0
0.0559999975,0.0,0.0
0.056999997,0.0,0.0
0.0579999965,0.0,0.0
0.058999996,0.0,0.0
0.0599999955,0.0,0.0
0.060999995,0.0,0.0
0.0619999945,0.0,0.0
0.062999994,0.0,0.0
0.0639999935,0.0,0.0
0.064999993,0.0,0.0
0.0659999925,0.0,0.0
0.066999992,0.0,0.0
0.068,0.0,0.0
0.0689999995,0.0,0.0
0.069999999,0.0,0.0
0.0709999985,0.0,0.0
0.071999998,0.0,0.0
0.0729999975,0.0,0.0
0.073999997,0.0,0.0
0.0749999965,0.0,0.0
0.075999996,0.0,0.0
0.0769999955,0.0,0.0
0.077999995,0.0,0.0
0.0789999945,0.0,0.0
0.079999994,0.0,0.0
0.0809999935,0.0,0.0
0.081999993,0.0,0.0
0.0829999925,0.0,0.0
0.083999992,0.0,0.0
0.085,0.0,0.0
0.0859999995,0.0,0.0
0.086999999,0.0,0.0
0.0879999985,0.0,0.0
0.088999998,0.0,0.0
0.0899999975,0.0,0.0
0.090999997,0.0,0.0
0.0919999965,0.0,0.0
0.092999996,0.0,0.0
