"Time","onOffController.reference","temperatureSensor.port.T"
0.000000000000000E+00,2.500000000000000E+01,2.931500000000000E+02
1.000000000000000E-03,2.500000000000000E+01,2.931599992303900E+02
2.000000000000000E-03,2.500000000000000E+01,2.931699968535000E+02
3.000000000000000E-03,2.500000000000000E+01,2.931799932766100E+02
4.000000000000000E-03,2.500000000000000E+01,2.931899883598100E+02
5.000000000000000E-03,2.500000000000000E+01,2.931999820689400E+02
6.000000000000000E-03,2.500000000000000E+01,2.932099743927800E+02
7.000000000000000E-03,2.500000000000000E+01,2.932199653277200E+02
8.000000000000000E-03,2.500000000000000E+01,2.932299548727100E+02
8.999999999999999E-03,2.500000000000000E+01,2.932399430275600E+02
1.000000000000000E-02,2.500000000000000E+01,2.932499297923500E+02
1.100000000000000E-02,2.500000000000000E+01,2.932599151672500E+02
1.200000000000000E-02,2.500000000000000E+01,2.932698991524800E+02
1.300000000000000E-02,2.500000000000000E+01,2.932798817482400E+02
1.400000000000000E-02,2.500000000000000E+01,2.932898629547700E+02
1.500000000000000E-02,2.500000000000000E+01,2.932998427722900E+02
1.600000000000000E-02,2.500000000000000E+01,2.933098212010200E+02
1.700000000000000E-02,2.500000000000000E+01,2.933197982411800E+02
1.800000000000000E-02,2.500000000000000E+01,2.933297738930000E+02
1.900000000000000E-02,2.500000000000000E+01,2.933397481567000E+02
2.000000000000000E-02,2.500000000000000E+01,2.933497210325100E+02
2.100000000000000E-02,2.500000000000000E+01,2.933596925206400E+02
2.200000000000000E-02,2.500000000000000E+01,2.933696626213300E+02
2.300000000000000E-02,2.500000000000000E+01,2.933796313348000E+02
2.400000000000000E-02,2.500000000000000E+01,2.933895986612600E+02
2.500000000000000E-02,2.500000000000000E+01,2.933995646009500E+02
2.600000000000000E-02,2.500000000000000E+01,2.934095291540900E+02
2.700000000000000E-02,2.500000000000000E+01,2.934194923208900E+02
2.800000000000000E-02,2.500000000000000E+01,2.934294541015900E+02
2.900000000000000E-02,2.500000000000000E+01,2.934394144964100E+02
3.000000000000000E-02,2.500000000000000E+01,2.934493735055700E+02
3.100000000000000E-02,2.500000000000000E+01,2.934593311292800E+02
3.200000000000000E-02,2.500000000000000E+01,2.934692873677900E+02
3.300000000000000E-02,2.500000000000000E+01,2.934792422213000E+02
3.400000000000000E-02,2.500000000000000E+01,2.934891956900500E+02
3.500000000000000E-02,2.500000000000000E+01,2.934991477742500E+02
3.600000000000000E-02,2.500000000000000E+01,2.935090984741300E+02
3.700000000000000E-02,2.500000000000000E+01,2.935190477899100E+02
3.800000000000000E-02,2.500000000000000E+01,2.935289957218200E+02
